i,Pref[i],Char[i],Used[i]
400,355,67,1
401,70,108,2
402,111,97,62
403,100,117,6
404,120,115,47
405,350,68,2
406,71,69,14
407,385,68,3
408,387,13,1
409,361,50,2
410,53,46,15
411,265,49,3
412,52,48,18
413,51,49,2
414,52,32,15
415,305,97,13
416,348,115,3
417,350,116,22
418,299,107,2
419,367,108,4
420,303,32,32
421,309,111,20
422,311,114,5
423,117,115,16
424,118,101,66
425,104,108,42
426,111,102,10
427,105,46,2
428,265,40,6
429,43,74,1
430,77,101,2
431,104,101,12
432,104,122,3
433,125,122,4
434,433,41,2
435,44,13,32
436,361,51,2
437,54,46,15
438,265,84,31
439,87,104,32
440,371,32,59
441,35,80,46
442,83,114,10
443,282,115,3
444,350,97,32
445,320,100,42
446,103,32,86
447,35,67,23
448,70,111,8
449,114,110,107
450,113,115,11
451,350,111,18
452,114,102,53
453,105,32,57
454,335,101,1
455,104,97,41
456,100,116,92
457,370,46,4
458,49,46,24
459,458,13,5
460,361,52,1
461,55,46,20
462,265,77,5
463,80,117,2
464,312,100,1
465,103,101,50
466,377,77,2
467,274,100,2
468,465,32,10
469,35,69,13
470,373,115,2
471,118,121,2
472,340,13,3
473,361,53,1
474,56,46,17
475,392,116,12
476,299,109,9
477,112,97,54
478,275,101,38
479,277,102,8
480,105,114,17
481,290,101,3
482,104,110,51
483,321,115,4
484,444,110,11
485,321,32,42
486,35,97,117
487,320,110,3
488,113,111,35
489,114,121,2
490,383,112,2
491,115,101,42
492,104,111,10
493,114,112,16
494,115,108,27
495,111,101,65
496,104,46,16
497,324,10,70
498,389,54,1
499,57,46,14
500,265,80,8
501,83,111,11
502,114,111,36
503,114,114,97
504,117,109,2
505,477,110,5
506,113,39,8
507,42,115,29
508,350,74,1
509,77,97,2
510,100,109,27
511,112,101,48
512,104,115,55
513,350,66,1
514,69,111,39
515,449,100,6
516,103,13,7
517,361,55,1
518,264,32,7
519,441,105,3
520,108,115,69
521,118,115,21
522,118,105,18
523,333,32,56
524,441,101,1
525,492,112,4
526,494,101,5
527,277,79,1
528,82,102,4
529,105,102,14
530,453,80,3
531,83,97,23
532,316,116,24
533,119,32,129
534,35,73,37
535,76,13,10
536,361,56,1
537,295,32,8
538,519,115,1
539,521,105,8
540,523,80,2
541,83,101,10
542,525,108,3
543,495,32,21
544,35,79,28
545,528,102,3
546,530,97,2
547,532,32,9
548,35,93,5
549,96,91,14
550,94,13,5
551,361,57,1
