i,Pref[i],Char[i],Used[i]
400,277,32,1
401,35,84,1
402,87,97,1
403,280,107,1
404,330,66,1
405,311,109,1
406,112,98,2
407,101,32,1
408,35,40,2
409,43,71,1
410,74,82,1
411,85,56,1
412,59,33,1
413,36,41,1
414,298,10,1
415,395,53,1
416,56,46,1
417,370,111,2
418,301,116,1
419,315,97,1
420,375,32,2
421,35,68,1
422,71,121,1
423,124,110,1
424,113,97,1
425,100,109,1
426,112,105,1
427,268,101,1
428,104,13,1
429,336,54,1
430,57,46,1
431,417,119,1
432,306,84,1
433,87,111,1
434,114,32,1
435,343,97,1
436,420,97,1
437,280,32,1
438,35,65,1
439,357,116,1
440,292,45,1
441,48,80,1
442,83,101,1
443,304,115,1
444,118,111,1
445,264,97,1
446,100,108,1
447,111,32,1
448,321,109,1
449,406,13,1
450,287,77,1
451,344,114,1
452,346,32,1
453,408,89,1
454,92,47,1
455,50,78,2
456,81,47,1
457,455,83,1
458,86,41,1
459,44,58,1
460,61,32,1
461,35,0,1
462,3,0,5
463,462,0,4
464,463,0,3
465,464,0,1
